TimeStamp;Anomaly_Class;ТР;Т воздуха на вх. в ГТУ (фильтр.);Р воздуха за КГГ (фильтр.);Т за СТ (т.1);Т за СТ (т.2);Т за СТ (т.3);Т за СТ (т.4);Т за СТ (т.5);Т за СТ (т.6);Т за СТ (т.7);Т за СТ (т.8);Т за СТ (т.9);Т за СТ (т.10);Т за СТ (т.11);Т за СТ (т.12);Т за ГГ (т.1);Т за ГГ (т.2);Т за ГГ на запуске (т.1);Т за ГГ на запуске (т.2);Т в. на входе К ГГ;Т ТГ перед ДГ;Т м. на сливе ШП;Т м. на сливе РП;Т м. на входе Д;Т м. на выходе из СТ;Р м. на входе ;Р суфлирования;Р ТГ перед ДГ;Т в ЩА;Вибр.Д в зоне ПП;Вибр. Д в зоне ЗП;Положение ДГ;Осевая сила (расч.);Обороты КВД 1;Обороты СТ 1;Обороты КВД 2;Обороты СТ 2;Положение ВНА;Т газа за ГГ (ср.);Т газа за СТ (ср.);Т газа за СТ (ср.).1
00:00:00.000;0;1158.560748204114;857.3908748793444;1113.5927775418374;1453.2799908215395;2837.5898216211435;2336.7075324653997;1926.6029256130998;1584.0747520674618;303.1888066504841;1946.6467704328563;1158.331477778203;1889.914551967581;622.6369874268696;2768.311734113841;1745.1287669680876;1152.483106690486;1207.1757728092462;1912.5947137552128;1953.5864803851669;1605.682337369402;1216.0241774030449;1978.3584431529073;2343.4223134215076;1528.0036903891043;817.8164281424831;1963.5637321689983;2463.466252820541;692.5316592267773;1700.0601034806668;1392.3947330593805;2780.753442107559;1660.4800575481836;2470.092527762442;186.22232274098343;1684.0051732533618;804.4173778967084;1893.2720068612236;2617.6082186489193;2436.8141202296065;1286.4937756070592;1013.9926649996181
00:00:00.020;0;1155.338158479258;857.6715082235772;1128.034481821498;1462.92457165158;2853.06682514641;2352.5251259599972;1924.5034759973732;1573.0252187253257;303.2806084375875;1931.4111660677092;1181.5022497246594;1894.6945848837172;621.2979175628138;2772.4238530581465;1736.2482584186537;1151.6782376485796;1195.958451712666;1939.8837012818522;1976.5431449345408;1591.2147162291828;1220.5097269011999;1982.9343509926523;2352.484805813112;1525.8649001351807;819.406696265766;1960.438018148381;2486.6397541196784;693.8371254566963;1694.0336145705362;1381.4789812235815;2753.8463817195648;1646.1721908421282;2479.669290788089;184.51779094516402;1680.246350174505;806.1885983428525;1890.692097902635;2617.5642836667766;2446.7713738354423;1288.5730618737891;1004.2338077986983
00:00:00.040;0;1159.2138650687668;859.7940179072481;1127.9186521734118;1455.0496017352652;2847.8027426253984;2347.1140944743943;1931.9941864012844;1572.9387179104604;304.08920679728465;1915.8712097046969;1172.1743166019562;1900.8642542618518;618.5202146330329;2767.2911588492357;1728.2414317347218;1167.8699879380404;1203.3776273311464;1924.8904008114355;1974.4048146577186;1596.1771414941568;1217.2241911735773;1995.776927136343;2330.871132461198;1529.4663177690518;818.2881836311612;1995.6250788962784;2474.4771639031237;689.0649741940047;1691.9712252173774;1388.068463177808;2735.581857404323;1680.7266830561002;2454.2860598803386;184.5284101023445;1722.6956039252566;800.3930986294961;1891.7799855677122;2611.990878386448;2434.0475831711005;1278.4954935414635;1007.7611601676969
00:00:00.060;0;1162.063008392712;859.2455659195897;1116.3600634973573;1452.8765285855793;2861.972358872408;2323.6265122498917;1928.1765738448978;1575.3051612272532;304.1445865133671;1950.9575897327409;1164.213206872702;1892.5641710774896;635.2140239207625;2780.4577853460632;1731.325932327001;1145.85335188229;1189.9443266828473;1921.9967245860016;1962.7663497854946;1609.2833897124276;1224.221699664936;2001.228588479457;2330.697546795316;1521.352728869973;818.4821546989049;1962.08017309478;2496.9064522431577;692.1071636176003;1701.3783952194772;1392.916538374334;2777.4103171377064;1670.277085450655;2436.6372516550546;184.9501490861901;1693.7656739974868;800.5060376686279;1882.2424783226538;2619.6063708020743;2430.1996854248036;1279.1257934358532;1013.07045641401
00:00:00.080;0;1152.617854356793;850.3210352451666;1119.4122228306292;1465.9845038257527;2859.125227271141;2361.760308288591;1927.626000031105;1580.8397345842056;303.82822062365113;1965.3549928328562;1162.8540574723036;1890.3837564009639;621.0396499356482;2773.338201030527;1725.364920711631;1163.5144940148361;1197.5495926194285;1932.2589344221508;1988.3398860409477;1596.233257295836;1236.1350845872212;1980.3447936887023;2322.8665857168194;1519.5540760757926;817.6465554260512;1974.4708196595689;2499.662505920649;693.652679508362;1690.0606545234423;1377.3763804506611;2749.8992989353833;1656.900659234498;2456.7456011705485;185.97627855481676;1705.146992894424;810.8449353215677;1889.4611643126188;2613.4302204749556;2427.3465345963637;1280.4792860315251;995.5646133649296
00:00:00.100;0;1169.825538940205;860.5089195803945;1109.6828024387817;1475.6644763732572;2835.7922264677927;2336.6970996405084;1932.2078535050412;1598.0352276487758;304.5274566815203;1948.3600059962894;1175.355872651136;1899.796079977491;634.2985538297428;2760.3297138499306;1742.4189983395827;1164.2954209022055;1194.0552851080142;1917.5873850354342;1950.894525189168;1603.9523881192558;1229.6494867937656;1976.0559582253914;2345.2901935158693;1519.9231185923393;812.3192211450266;1958.341849662953;2471.262365448029;689.2427943550016;1689.3723709820672;1393.941127449904;2759.7407342218194;1661.2072497150807;2466.987049140455;186.6534250011054;1704.1230624372283;800.1122583211476;1881.7757743815082;2613.6835270154384;2420.290714780598;1288.966679407915;1005.7273386690696
00:00:00.120;0;1152.2168831208737;858.8142570879005;1116.64433482358;1459.9891334872084;2872.1880105421988;2346.6387399200776;1922.9611625215384;1591.2104061687114;304.8490528970769;1953.5678430953471;1172.1449975294195;1887.6256485457839;624.2178055553686;2760.630650134565;1705.2896578834925;1160.4314772837024;1202.1403193598082;1939.000989987488;1969.8769441668258;1591.9468786851933;1221.632484003904;1972.902693788488;2318.4682455007014;1532.9070336943032;811.3964076786622;1951.7162311682844;2511.8645138502498;694.1660383680623;1705.240195081453;1386.9832346129103;2763.877306884317;1670.743259510849;2467.9820875673827;186.15659242424405;1704.8316370986213;807.085605988489;1888.4344170636045;2593.5437015887696;2456.6526911333194;1286.2952087722467;1016.262265141728
00:00:00.140;0;1152.4506110980294;860.5014934701286;1132.609301977119;1467.607881465068;2823.5015452287644;2336.813090224389;1919.1082701981343;1579.1120925540554;302.25123535725066;1940.2766210999243;1167.678598324946;1896.0439236879856;620.5127417735341;2780.164474083969;1734.6123337815818;1167.2686720543363;1192.4761549592245;1927.2586959551406;1974.254533641773;1600.2730723306881;1218.8586656779048;1979.9870330374624;2322.791142859609;1530.8919981248978;820.7068347547407;1969.254804959047;2490.806637482775;697.2823052398517;1678.282668988079;1394.44673709547;2769.7983047004036;1659.6424790060191;2456.7748811353063;183.53110624503876;1701.2322917829767;807.0099592625387;1880.2563945338768;2601.0159239751088;2432.4998100116695;1296.2336671013272;1010.3414997359193
00:00:00.160;0;1148.0831254354187;862.4491886297822;1122.5239448223722;1466.4099377792309;2834.0624000799294;2328.792713598824;1915.0322026426202;1578.0336891361844;303.20506848078605;1950.2456987982412;1173.8363972247805;1894.0466729554435;626.897582447098;2782.158559271645;1737.022173575614;1161.1407346029778;1206.3009171501546;1931.7988196184315;1971.657531420748;1601.8490927682924;1229.8448956042153;1989.31820507048;2343.635061225696;1531.2369857555316;820.041224587219;1979.3715779062695;2489.3432105862635;692.7250005658728;1696.6327324143974;1389.3022288050627;2786.3835366068547;1651.293006817848;2441.322006708001;185.49213041044422;1711.4298259480647;796.9640712453447;1890.499242437374;2613.394997242281;2434.797331538345;1296.4227257359669;1011.4437530028226
00:00:00.180;0;1155.8673779377473;857.4749642725033;1123.6156033184334;1463.850131349557;2842.402873080875;2330.991485908468;1922.4862388908175;1569.8731897409864;304.1351087356542;1943.9108894746198;1169.1222472381623;1901.0478725763342;622.7317999663815;2802.495281547687;1739.1778667673907;1161.5467859526404;1203.8724673132344;1930.9045863387666;1951.306181064575;1613.8681183610213;1223.3988016535916;1988.9271927424104;2340.9483858393587;1528.2166201394598;810.0522152738066;1993.9332638580431;2478.4234354385567;700.3657411721244;1694.7874601253134;1398.711739818077;2758.2973874459217;1663.4197600858076;2442.2484744443273;183.96631213005003;1712.9741456803602;802.5684524264617;1878.2749313913537;2611.928556431653;2434.8435054879074;1295.1300368397142;1011.1688925214401
