TimeStamp;Anomaly_Class;30-Т масла откачки;31-Т слива масла из турбины;32-Т масла вх ГТД;33-Т ТГ до СК;34-Р масла нагнетания;35-Р масла откачки;36-Р за ОК 1;37-Р за ОК 2;38-Р ТГ перед ДГ;39-Вибрация ГГ;40-Вибрация СТ;41-% ДГ;42-Контроль ДГ;43-N РНД (Расч);44-N РВД (Расч);45-N РСТ (Расч);46 Т-возд вх ГГ (Расч);47-P возд за ГГ (расч);48-N РНД прив;49-N РВД прив;50-Т за ТНД макс;51-% НА КВД;52-% КПВ
00:00:00.000;0;1158.560748204114;857.3908748793444;1113.5927775418374;1453.2799908215395;2837.5898216211435;2336.7075324653997;1926.6029256130998;1584.0747520674618;303.1888066504841;1946.6467704328563;1158.331477778203;1889.914551967581;622.6369874268696;2768.311734113841;1745.1287669680876;1152.483106690486;1207.1757728092462;1912.5947137552128;1953.5864803851669;1605.682337369402;1216.0241774030449;1978.3584431529073;2343.4223134215076
00:00:00.020;0;1155.338158479258;857.6715082235772;1128.034481821498;1462.92457165158;2853.06682514641;2352.5251259599972;1924.5034759973732;1573.0252187253257;303.2806084375875;1931.4111660677092;1181.5022497246594;1894.6945848837172;621.2979175628138;2772.4238530581465;1736.2482584186537;1151.6782376485796;1195.958451712666;1939.8837012818522;1976.5431449345408;1591.2147162291828;1220.5097269011999;1982.9343509926523;2352.484805813112
00:00:00.040;0;1159.2138650687668;859.7940179072481;1127.9186521734118;1455.0496017352652;2847.8027426253984;2347.1140944743943;1931.9941864012844;1572.9387179104604;304.08920679728465;1915.8712097046969;1172.1743166019562;1900.8642542618518;618.5202146330329;2767.2911588492357;1728.2414317347218;1167.8699879380404;1203.3776273311464;1924.8904008114355;1974.4048146577186;1596.1771414941568;1217.2241911735773;1995.776927136343;2330.871132461198
00:00:00.060;0;1162.063008392712;859.2455659195897;1116.3600634973573;1452.8765285855793;2861.972358872408;2323.6265122498917;1928.1765738448978;1575.3051612272532;304.1445865133671;1950.9575897327409;1164.213206872702;1892.5641710774896;635.2140239207625;2780.4577853460632;1731.325932327001;1145.85335188229;1189.9443266828473;1921.9967245860016;1962.7663497854946;1609.2833897124276;1224.221699664936;2001.228588479457;2330.697546795316
00:00:00.080;0;1152.617854356793;850.3210352451666;1119.4122228306292;1465.9845038257527;2859.125227271141;2361.760308288591;1927.626000031105;1580.8397345842056;303.82822062365113;1965.3549928328562;1162.8540574723036;1890.3837564009639;621.0396499356482;2773.338201030527;1725.364920711631;1163.5144940148361;1197.5495926194285;1932.2589344221508;1988.3398860409477;1596.233257295836;1236.1350845872212;1980.3447936887023;2322.8665857168194
00:00:00.100;0;1169.825538940205;860.5089195803945;1109.6828024387817;1475.6644763732572;2835.7922264677927;2336.6970996405084;1932.2078535050412;1598.0352276487758;304.5274566815203;1948.3600059962894;1175.355872651136;1899.796079977491;634.2985538297428;2760.3297138499306;1742.4189983395827;1164.2954209022055;1194.0552851080142;1917.5873850354342;1950.894525189168;1603.9523881192558;1229.6494867937656;1976.0559582253914;2345.2901935158693
00:00:00.120;0;1152.2168831208737;858.8142570879005;1116.64433482358;1459.9891334872084;2872.1880105421988;2346.6387399200776;1922.9611625215384;1591.2104061687114;304.8490528970769;1953.5678430953471;1172.1449975294195;1887.6256485457839;624.2178055553686;2760.630650134565;1705.2896578834925;1160.4314772837024;1202.1403193598082;1939.000989987488;1969.8769441668258;1591.9468786851933;1221.632484003904;1972.902693788488;2318.4682455007014
00:00:00.140;0;1152.4506110980294;860.5014934701286;1132.609301977119;1467.607881465068;2823.5015452287644;2336.813090224389;1919.1082701981343;1579.1120925540554;302.25123535725066;1940.2766210999243;1167.678598324946;1896.0439236879856;620.5127417735341;2780.164474083969;1734.6123337815818;1167.2686720543363;1192.4761549592245;1927.2586959551406;1974.254533641773;1600.2730723306881;1218.8586656779048;1979.9870330374624;2322.791142859609
00:00:00.160;0;1148.0831254354187;862.4491886297822;1122.5239448223722;1466.4099377792309;2834.0624000799294;2328.792713598824;1915.0322026426202;1578.0336891361844;303.20506848078605;1950.2456987982412;1173.8363972247805;1894.0466729554435;626.897582447098;2782.158559271645;1737.022173575614;1161.1407346029778;1206.3009171501546;1931.7988196184315;1971.657531420748;1601.8490927682924;1229.8448956042153;1989.31820507048;2343.635061225696
00:00:00.180;0;1155.8673779377473;857.4749642725033;1123.6156033184334;1463.850131349557;2842.402873080875;2330.991485908468;1922.4862388908175;1569.8731897409864;304.1351087356542;1943.9108894746198;1169.1222472381623;1901.0478725763342;622.7317999663815;2802.495281547687;1739.1778667673907;1161.5467859526404;1203.8724673132344;1930.9045863387666;1951.306181064575;1613.8681183610213;1223.3988016535916;1988.9271927424104;2340.9483858393587
